microbe,category,estimate,statistic,p.value,parameter,conf.low,conf.high,method,alternative,FDR
1036;Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae,Alpha.amino.acid.amides,0.22750182570091268,0.6608000626648488,0.5273071766775883,8,-0.469355486245482,0.7497352058653225,Pearson's product-moment correlation,two.sided,0.7047889516029403
1503;Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae,Alpha.amino.acid.amides,0.7459089372410376,3.167563393623873,0.013243168885848719,8,0.21925388144338956,0.9359649994535334,Pearson's product-moment correlation,two.sided,0.1366307424076587
1626;Bacteria;Bacteroidetes;Bacteroidia;Flavobacteriales;Flavobacteriaceae;Winogradskyella,Alpha.amino.acid.amides,0.04804135600365466,0.13603855169155926,0.8951517438948637,8,-0.5997255020918901,0.6577713228223924,Pearson's product-moment correlation,two.sided,0.9454411677091819
1852;Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Limnobacter,Alpha.amino.acid.amides,0.2597492304734736,0.7607952255251614,0.4686079236568731,8,-0.4421959896033315,0.7643671464054219,Pearson's product-moment correlation,two.sided,0.6730769158127587
2321;Bacteria;Bacteroidetes;Bacteroidia;Flavobacteriales;Flavobacteriaceae;Maribacter,Alpha.amino.acid.amides,-0.15304916097793347,-0.43804924210115,0.6729376109725561,8,-0.7138829992222138,0.5273993309280437,Pearson's product-moment correlation,two.sided,0.8179672685097449
2568;Bacteria;Bacteroidetes;Bacteroidia;Flavobacteriales;Flavobacteriaceae,Alpha.amino.acid.amides,-0.5614378109858335,-1.9189723282632392,0.0912600604803972,8,-0.8799908540288515,0.10547265082682522,Pearson's product-moment correlation,two.sided,0.3462589032458571
2666;Bacteria;Proteobacteria;Gammaproteobacteria;Alteromonadales;Alteromonadaceae;Alteromonas,Alpha.amino.acid.amides,0.36361549812036725,1.104031888278787,0.3016769074140801,8,-0.34499448959776946,0.8082089267113656,Pearson's product-moment correlation,two.sided,0.5709589791326884
2682;Bacteria;Proteobacteria;Gammaproteobacteria;Alteromonadales;Alteromonadaceae,Alpha.amino.acid.amides,-0.2649592713854412,-0.7771952561205733,0.459406092956976,8,-0.7666833689639779,0.43768376583371976,Pearson's product-moment correlation,two.sided,0.6700992321406926
2713;Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Pseudophaeobacter,Alpha.amino.acid.amides,0.7827927075227575,3.5579852153572324,0.007422489856177802,8,0.3020240643121751,0.946111827002975,Pearson's product-moment correlation,two.sided,0.09514282452009729
2747;Bacteria;Proteobacteria;Gammaproteobacteria;Oceanospirillales;Oleiphilaceae;Oleiphilus,Alpha.amino.acid.amides,0.9062185866605962,6.062241345505317,3.0179569558589324e-4,8,0.6441052542429406,0.9778844822364997,Pearson's product-moment correlation,two.sided,0.009674057753905644
3023;Bacteria;Proteobacteria;Gammaproteobacteria;Alteromonadales;Alteromonadaceae;Alteromonas,Alpha.amino.acid.amides,0.36605944626094733,1.1125961302968708,0.2981940381099359,8,-0.34250841878882593,0.8091843969324918,Pearson's product-moment correlation,two.sided,0.5694631066388391
3263;Bacteria;Proteobacteria;Gammaproteobacteria;Oceanospirillales;Marinomonadaceae;Marinomonas,Alpha.amino.acid.amides,-0.5579260466085357,-1.9015193424492305,0.09374824559996513,8,-0.8788319442548,0.11052657040701395,Pearson's product-moment correlation,two.sided,0.3462589032458571
3349;Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae,Alpha.amino.acid.amides,-0.07083801245469479,-0.20086476181590024,0.8458170931204887,8,-0.6705565032519151,0.584874556246716,Pearson's product-moment correlation,two.sided,0.9068815105737839
3399;Bacteria;Proteobacteria;Gammaproteobacteria;Alteromonadales;Alteromonadaceae,Alpha.amino.acid.amides,0.006354595271922802,0.017973872537958638,0.9860998841506601,8,-0.6257754453838414,0.6334464634935502,Pearson's product-moment correlation,two.sided,0.9896091364074241
3485;Bacteria;Proteobacteria;Betaproteobacteria;Methylophilales;Methylophilaceae;OM43 clade,Alpha.amino.acid.amides,0.8319953560171618,4.2417304623473875,0.0028308010022279843,8,0.42500771338375254,0.959166152554664,Pearson's product-moment correlation,two.sided,0.05206212278010597
376;Bacteria;Proteobacteria;Gammaproteobacteria;Alteromonadales;Alteromonadaceae,Alpha.amino.acid.amides,-0.43202508043779814,-1.3549212737972394,0.21245986707419198,8,-0.8346221709393333,0.2714355987430737,Pearson's product-moment correlation,two.sided,0.5015968385899591
3835;Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae,Alpha.amino.acid.amides,0.693778095411589,2.7247031546605163,0.026058421978492004,8,0.1139101203641559,0.9210642489248517,Pearson's product-moment correlation,two.sided,0.20412430549818736
3841;Bacteria;Proteobacteria;Gammaproteobacteria;Oceanospirillales;Nitrincolaceae;Neptuniibacter,Alpha.amino.acid.amides,0.5207942424772387,1.7254998438624694,0.12271732067643587,8,-0.16192975651847347,0.8663420133537686,Pearson's product-moment correlation,two.sided,0.39176925770665944
4056;Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Sulfitobacter,Alpha.amino.acid.amides,-0.425728410905134,-1.3307625167482766,0.21994556467978996,8,-0.8322659785846593,0.27856798275203626,Pearson's product-moment correlation,two.sided,0.5029025614029793
4061;Bacteria;Proteobacteria;Gammaproteobacteria;Alteromonadales;Alteromonadaceae,Alpha.amino.acid.amides,0.2597492304734736,0.7607952255251614,0.4686079236568731,8,-0.4421959896033315,0.7643671464054219,Pearson's product-moment correlation,two.sided,0.6730769158127587
45;Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Limnobacter,Alpha.amino.acid.amides,0.9664028437818688,10.634465987614766,5.3526670087993265e-6,8,0.8601609593764278,0.99226377702693,Pearson's product-moment correlation,two.sided,9.140905293607241e-4
4531;Bacteria;Proteobacteria;Gammaproteobacteria;Alteromonadales;Alteromonadaceae,Alpha.amino.acid.amides,-0.558420484108337,-1.9039675872922996,0.09339533661624431,8,-0.8789953418531932,0.10981709061146856,Pearson's product-moment correlation,two.sided,0.3462589032458571
4616;Bacteria;Proteobacteria;Alphaproteobacteria;Caulobacterales;Hyphomonadaceae;Litorimonas;uncultured marine bacterium,Alpha.amino.acid.amides,-0.15227981402952537,-0.4357948482903197,0.6745056078822583,8,-0.7134965139328617,0.5279676999409949,Pearson's product-moment correlation,two.sided,0.8186969071282505
