feature_number,mz,RT,C,H,O,N,S,P,Cl,Br,B,Se,I,H/C,O/C,N/C,AI-mod,DBE,DBE/C,Formula,ZodiacScore,Exp2_MediaBlank_A_DOM_I,Exp2_MediaBlank_A_DOM_II,Exp2_MediaBlank_A_Unfil_I,Exp2_MediaBlank_A_Unfil_II,Exp2_Pn-delicatissima_A_DOM_I,Exp2_Pn-delicatissima_A_DOM_II,Exp2_Pn-delicatissima_A_Unfil_I,Exp2_Pn-delicatissima_A_Unfil_II,Exp2_Pn-delicatissima_B_DOM_I,Exp2_Pn-delicatissima_B_DOM_II,Exp2_Pn-delicatissima_B_Unfil_I,Exp2_Pn-delicatissima_B_Unfil_II,Exp2_Pn-galaxiae_A_DOM_I,Exp2_Pn-galaxiae_A_DOM_II,Exp2_Pn-galaxiae_A_Unfil_I,Exp2_Pn-galaxiae_A_Unfil_II,Exp2_Pn-galaxiae_B_DOM_I,Exp2_Pn-galaxiae_B_DOM_II,Exp2_Pn-galaxiae_B_Unfil_I,Exp2_Pn-galaxiae_B_Unfil_II,Exp2_Pn-hasleana_A_DOM_I,Exp2_Pn-hasleana_A_DOM_II,Exp2_Pn-hasleana_A_Unfil_I,Exp2_Pn-hasleana_A_Unfil_II,Exp2_Pn-hasleana_B_DOM_I,Exp2_Pn-hasleana_B_DOM_II,Exp2_Pn-hasleana_B_Unfil_I,Exp2_Pn-hasleana_B_Unfil_II,Exp2_Pn-multiseries_A_DOM_I,Exp2_Pn-multiseries_A_DOM_II,Exp2_Pn-multiseries_A_Unfil_I,Exp2_Pn-multiseries_A_Unfil_II,Exp2_Pn-multiseries_B_DOM_I,Exp2_Pn-multiseries_B_DOM_II,Exp2_Pn-multiseries_B_Unfil_I,Exp2_Pn-multiseries_B_Unfil_II,Exp2_Pn-subpacifica_A_DOM_I,Exp2_Pn-subpacifica_A_DOM_II,Exp2_Pn-subpacifica_A_Unfil_I,Exp2_Pn-subpacifica_A_Unfil_II,Exp2_Pn-subpacifica_B_DOM_I,Exp2_Pn-subpacifica_B_DOM_II,Exp2_Pn-subpacifica_B_Unfil_I,Exp2_Pn-subpacifica_B_Unfil_II
9,157.0836858,1.912408037,6,10,2,3,0,0,0,0,0,0,0,1.666666667,0.333333333,0.5,0.5,3.5,0.583333333,C6H10N3O2,1,1978212.392,2107315.411,2204733.75,2373692.923,5278369.98,5566219.09,4948865.804,5191325.804,8752297.004,6339069.475,3778902.083,3640516.4839999997,9178381.699,8924683.547,3888659.9060000004,4565027.631,12600000,12300000,4245701.614,4248878.6110000005,4680941.198,3824097.1089999997,4315897.478,3917838.42,6162808.722,5651876.8610000005,13100000,6176863.476,5798973.167,5398148.001,4735072.743,5010154.948,5512217.653,5349219.87,4912001.636,447895.5108,5543803.386,6084844.881,5502007.177,4263633.5819999995,19100000,20000000,17600000,15900000
53,181.1223708,7.832916163,11,16,2,0,0,0,0,0,0,0,0,1.454545455,0.181818182,0,0.3,4,0.363636364,C11H16O2,1,8144259.8889999995,7226633.312000001,8307977.137999999,7858928.164,32000000,29700000,69400000,114000000,38500000,35600000,77400000,88400000,31100000,22700000,59000000,107000000,49500000,41400000,59500000,67000000,34600000,24300000,75100000,64600000,56200000,39700000,106000000,87900000,17700000,13800000,18700000,10800000,12200000,15900000,12600000,617892.8116,9255227.146,6305962.29,5745643.315,8428882.981,9727911.331,9262140.663999999,5896022.509,8192140.515
116,212.0907894,1.028033711,9,13,1,3,1,0,0,0,0,0,0,1.444444444,0.111111111,0.333333333,0.444444444,5,0.555555556,C9H13N3OS,1,228325.2762,153384.7053,184628.8112,100497.3146,472102.9928,236750.2073,6422559.415,5444700.902000001,525355.6988,160290.7783,5118167.298,5238043.538,292706.8752,505721.4138,1879233.331,2029470.9409999999,528174.3175,626031.1784,2616325.961,2276165.3230000003,339040.4549,717031.9393,3029543.542,3339198.998,287933.2363,185990.0164,2068520.2380000001,1538014.201,169232.2543,173893.6709,399779.7563,457923.4456,197828.0705,166832.8387,748465.0744,41552.49134,263020.7255,157103.1234,141125.1334,165290.0637,103570.5153,393297.3867,79095.2491,234859.8001
117,212.1266437,4.060965421,11,17,3,1,0,0,0,0,0,0,0,1.545454545,0.272727273,0.090909091,0.235294118,4,0.363636364,C11H17NO3,1,3383154.887,3699942.933,3840370.422,4020335.498,6547184.326,7484368.554,2440446.373,5771699.161,12700000,13400000,3226305.327,3328156.538,10800000,19000000,3457753.405,3350087.503,12000000,7410381.091,6058427.182999999,4582285.441000001,5245183.405,5021901.669,6420651.2,5483849.121,9528973.703,8076546.19,6729267.693,7079392.72,12900000,20800000,4855241.758,3474879.0330000003,11900000,23100000,3250578.688,141129.6093,9033834.813,22000000,10000000,3006293.436,12600000,9646703.399,4806429.336,4001918.6139999996
147,224.1291273,5.539411438,10,19,3,1,0,0,0,0,0,0,0,1.9,0.3,0.1,0,2,0.2,C10H19NO3,0.9996997,3465134.292,965442.0439,3283349.2830000003,2884023.805,47500000,38200000,11600000,8771483.377,16300000,3018395.691,12000000,14000000,12600000,4575675.595,16700000,3888001.202,2794163.107,2762677.896,24200000,6940408.774,5242648.209,2263738.644,16700000,6175210.052999999,11700000,2203532.395,15400000,7578875.502,5069552.245,5336283.427,5044259.305,505381.4612,5188645.024,3004964.5089999996,11100000,266370.5008,24200000,1724516.388,6157819.113,8734567.347000001,22000000,18600000,2155217.7909999997,15600000
175,231.171264,2.294692319,11,22,3,2,0,0,0,0,0,0,0,2,0.272727273,0.181818182,0,2,0.181818182,C11H22N2O3,1,881541.9948,1331439.877,2632126.057,2689515.591,9709046.949,9893891.024,10400000,10500000,9742770.426,9636247.685,10200000,10600000,156240.039,60549.73417,8910026.03,8464146.011,2554401.748,2218826.212,11500000,10500000,2838226.421,1997357.985,8707609.498,8316348.722,68732.93421,297829,11200000,9929083.042000001,1480777.6719999998,3909100.9289999995,1253800.701,3033259.575,3517792.058,3259291.26,3050526.841,185898.9179,6490481.896000001,11700000,7012604.762999999,8323796.574,11600000,12100000,13300000,12900000
209,244.2021391,1.124262644,12,25,2,3,0,0,0,0,0,0,0,2.083333333,0.166666667,0.25,0,2,0.166666667,C12H25N3O2,1,1059865.228,594862.705,749301.8485,563954.7931,12300000,13300000,21200000,21800000,13300000,17800000,19200000,19000000,3106347.982,2702713.6089999997,2754609.852,2419637.364,2078918.875,1619073.854,3165011.747,2578968.992,2117544.088,2120825.159,1972717.23,2113389.899,2995523.6810000003,2477112.255,2647686.622,2163717.331,14200000,14100000,13500000,14600000,12300000,13100000,14000000,1550810.583,5939356.414,6100179.227999999,6651996.333,5215106.257,5052725.26,5267369.554,6466344.311000001,5386957.097999999
231,251.1849639,4.558321813,12,26,5,0,0,0,0,0,0,0,0,2.166666667,0.416666667,0,0,0,0,C12H26O5,1,11300000,8485741.622000001,9606508.144,10100000,47500000,53000000,63100000,66900000,64800000,65000000,43700000,39600000,27100000,24300000,20600000,20700000,63300000,56500000,38100000,37000000,44800000,36700000,41600000,40500000,38300000,33100000,43100000,51700000,35900000,34900000,22400000,23400000,21800000,25200000,23500000,497638.6602,46600000,45300000,44700000,39500000,180000000,192000000,83700000,87000000
278,266.1739585,8.250052488,15,23,3,1,0,0,0,0,0,0,0,1.533333333,0.2,0.066666667,0.24,5,0.333333333,C15H23NO3,1,6368575.222999999,1781897.948,3437815.1410000003,2619815.058,22600000,9570661.105,39400000,10400000,32700000,4491144.806,27600000,15700000,29800000,6099171.538,33800000,4364119.416999999,6014762.68,6788341.302,49100000,10300000,10400000,4406243.575,19200000,6301827.735,29200000,9206491.447999999,22800000,9756500.627,10400000,4661386.933,9091402.627,755248.3941,13500000,3026593.756,21300000,150374.3842,4748962.06,1805726.937,1243357.659,2177525.042,3050991.3619999997,2614023.244,1173695.08,10200000
307,272.294648,9.899945246,17,37,1,1,0,0,0,0,0,0,0,2.176470588,0.058823529,0.058823529,0,0,0,C17H37NO,1,20900000,13000000,3246500.205,5769610.94,10700000,12400000,163000000,206000000,21000000,39700000,142000000,62400000,16700000,17100000,94500000,18600000,16900000,24500000,118000000,39600000,16100000,12700000,107000000,52300000,23200000,41700000,78800000,67500000,10600000,17200000,40400000,34400000,20500000,25500000,82500000,4065304.01,1750183.082,7721152.992000001,1419026.698,12700000,12600000,904065.9240000001,1712008.795,77400000
