microbe,category,estimate,statistic,p.value,parameter,conf.low,conf.high,method,alternative,FDR
Bacteria;Bacteroidetes;Bacteroidia,Alpha.amino.acid.amides,-0.3816417181357302,-1.1678391384009927,0.27649599539543795,8,-0.8153469451097701,0.3264207725462597,Pearson's product-moment correlation,two.sided,0.3432364080770954
Bacteria;Proteobacteria;Alphaproteobacteria,Alpha.amino.acid.amides,-0.7539556222497641,-3.2461961202072076,0.011767910104300972,8,-0.9382059194067294,-0.2366871447891485,Pearson's product-moment correlation,two.sided,0.03530373031290292
Bacteria;Proteobacteria;Betaproteobacteria,Alpha.amino.acid.amides,0.9711140911732353,11.511087363652358,2.94162963128867e-6,8,0.8788523979483813,0.9933608525662336,Pearson's product-moment correlation,two.sided,1.690480106496857e-4
Bacteria;Proteobacteria;Gammaproteobacteria,Alpha.amino.acid.amides,0.6812658014285069,2.6322616754263066,0.03007240177047736,8,0.09042790638237967,0.9173859451518677,Pearson's product-moment correlation,two.sided,0.06984557830562485
Bacteria;Bacteroidetes;Bacteroidia,Alpha.amino.acids.and.derivatives,0.41358668616651706,1.284838108458974,0.23479908641383834,8,-0.29210531482375623,0.8276807382935631,Pearson's product-moment correlation,two.sided,0.30188453967493506
Bacteria;Proteobacteria;Alphaproteobacteria,Alpha.amino.acids.and.derivatives,0.538637416840295,1.8082238053675546,0.10818414711475145,8,-0.13768259941905875,0.8723983074612439,Pearson's product-moment correlation,two.sided,0.19351557208532968
Bacteria;Proteobacteria;Betaproteobacteria,Alpha.amino.acids.and.derivatives,-0.287296008040455,-0.8483611616703187,0.4208940254132585,8,-0.7764677401416613,0.4179291251253849,Pearson's product-moment correlation,two.sided,0.47593235464393335
Bacteria;Proteobacteria;Gammaproteobacteria,Alpha.amino.acids.and.derivatives,-0.5360807814061871,-1.7961682759398157,0.1101963674374794,8,-0.871536783857571,0.14120729683155145,Pearson's product-moment correlation,two.sided,0.19351557208532968
Bacteria;Bacteroidetes;Bacteroidia,Amino.acids..peptides..and.analogues,0.44181891123377753,1.3929847970856417,0.2011122361847365,8,-0.2601861946196694,0.8382579414079923,Pearson's product-moment correlation,two.sided,0.2688141755091642
Bacteria;Proteobacteria;Alphaproteobacteria,Amino.acids..peptides..and.analogues,0.4413821378096001,1.3912743236749177,0.20161063163187318,8,-0.26069197512866443,0.8380965452335848,Pearson's product-moment correlation,two.sided,0.2688141755091642
Bacteria;Proteobacteria;Betaproteobacteria,Amino.acids..peptides..and.analogues,-0.250805151666125,-0.732806350945444,0.48459171705729753,8,-0.7603602834134922,0.4498601481110133,Pearson's product-moment correlation,two.sided,0.5286455095170518
Bacteria;Proteobacteria;Gammaproteobacteria,Amino.acids..peptides..and.analogues,-0.4733135503302146,-1.5197434043696336,0.16706218141209472,8,-0.8497155570687445,0.22267111630651226,Pearson's product-moment correlation,two.sided,0.2614886317754526
