variable,p_value,FDR
1-benzopyrans,0.9999999916245068,1
1-hydroxy-2-unsubstituted benzenoids,0.9999999996182085,1
1-hydroxy-4-unsubstituted benzenoids,0.9999100925817684,1
"1,2-aminoalcohols",0.9649932702660591,1
"1,2-diacylglycerols",0.3834848839249686,1
"1,2-diols",0.7623457406429697,1
"1,3-aminoalcohols",0.9999999990522552,1
"1,3,4-oxadiazoles",0.9771353379316949,1
"1,3,5-triazines",0.9990506105761672,1
16-hydroxysteroids,0.4663363452666416,1
17-hydroxysteroids,0.9215442345982912,1
17-oxosteroids,0.511988809416956,1
2-arylethylamines,0.9941249316817076,1
"2,5-dioxopiperazines",0.999720929524943,1
"2,5-disubstituted thiazoles",0.9987871056281443,1
3'-hydroxyflavonoids,0.9999999999999931,1
3-alkylindoles,0.999996319627524,1
3-hydroxysteroids,0.9640813993126323,1
"3-oxo delta-1,4-steroids",0.34570709145088796,1
3-oxo delta-4-steroids,0.09296491549072144,0.54667414126781
3-oxosteroids,0.03405792856985265,0.26992179209838446
4'-hydroxyflavonoids,0.999999999918086,1
5-hydroxyflavonoids,0.468921319075884,1
6-alkylaminopurines,0.9999999999998703,1
6-aminopurines,0.929691280542831,1
6-oxopurines,0.9999828295999703,1
7-hydroxyflavonoids,0.9999999995787127,1
Acetals,0.00988481173674343,0.1029183339649169
Acetamides,0.9999999990400135,1
Acryloyl compounds,0.004786824564510477,0.057768269176251434
Acylaminobenzoic acid and derivatives,0.9999712034310478,1
Alcohols and polyols,4.3629107931084194e-5,0.0012870586839669837
Aldehydes,0.0020452093777539623,0.03194135822315747
Alkaloids and derivatives,1,1
Alkanesulfonic acids,0.9999999998469788,1
Alkanesulfonic acids and derivatives,0.9999999978361798,1
Alkanolamines,0.9999971534195544,1
Alkoxy-S-triazines,0.9999818432201129,1
Alkyl-phenylketones,0.9999995459906748,1
Alkyl aryl ethers,0.9999999999985703,1
Alkyl bromides,0.999999964265409,1
Alkyl chlorides,0.9974669336919381,1
Alkyl glycosides,0.05872354757685475,0.3997718431193573
Alkyl halides,0.9999998585457122,1
Alkyl phosphates,6.789665018212192e-8,4.0059023607451935e-6
Alkylboranes,0.06944656383217945,0.4667863974036366
Alkylthiols,0.9999999999973377,1
"Allyl-type 1,3-dipolar organic compounds",0.9991682828473143,1
Alpha-acyloxy carbonyl compounds,0.255130485322685,1
