DOM_fil,microbe,category,estimate,statistic,p.value,parameter,conf.low,conf.high,method,alternative,FDR
DOM,Bacteria;Bacteroidetes;Bacteroidia;Flavobacteriales;Flavobacteriaceae;2568,1795,-0.4378274957567712,-1.3773992208784567,0.20569342047655553,8,-0.836780449032157,0.26479394376873333,Pearson's product-moment correlation,two.sided,0.5261941182006062
DOM,Bacteria;Bacteroidetes;Bacteroidia;Flavobacteriales;Flavobacteriaceae;Maribacter;2321,1795,-0.3558709480721938,-1.077064985237459,0.31285517447359346,8,-0.8051015902635835,0.35280739013276385,Pearson's product-moment correlation,two.sided,0.6003353318712559
DOM,Bacteria;Bacteroidetes;Bacteroidia;Flavobacteriales;Flavobacteriaceae;Polaribacter 4;7037,1795,0.2319266752285648,0.6743757188592273,0.519080715890969,8,-0.46570522462698116,0.7517736270735522,Pearson's product-moment correlation,two.sided,0.6485715539516528
DOM,Bacteria;Bacteroidetes;Bacteroidia;Flavobacteriales;Flavobacteriaceae;Winogradskyella;1626,1795,-0.15349550543977888,-0.4393575251678956,0.6720284410404735,8,-0.7141070660936963,0.5270693064611047,Pearson's product-moment correlation,two.sided,0.7558331599724641
DOM,Bacteria;Bacteroidetes;Bacteroidia;Flavobacteriales;Flavobacteriaceae;Winogradskyella;484,1795,-0.3315202539616553,-0.9938870794228052,0.3493847102025447,8,-0.7951680493161848,0.3767456175655568,Pearson's product-moment correlation,two.sided,0.6003353318712559
DOM,Bacteria;Bacteroidetes;Bacteroidia;Flavobacteriales;Flavobacteriaceae;Winogradskyella;7920,1795,-0.4519892333368127,-1.4331671324619026,0.18970965049506766,8,-0.8419965325082595,0.24829909273286882,Pearson's product-moment correlation,two.sided,0.5164318263476843
DOM,Bacteria;Cyanobacteria;Oxyphotobacteria;Nostocales;Phormidiaceae;Tychonema CCAP 1459-11B;6048,1795,-0.22787580517491035,-0.661945765096066,0.5266098477420854,8,-0.7499078734475515,0.4690478920816441,Pearson's product-moment correlation,two.sided,0.6485715539516528
DOM,Bacteria;Proteobacteria;Alphaproteobacteria;7309,1795,0.6059519558738464,2.1544792845596836,0.06333180699593435,8,-0.03827847364728714,0.8943593400304064,Pearson's product-moment correlation,two.sided,0.28029431999490945
DOM,Bacteria;Proteobacteria;Alphaproteobacteria;Caulobacterales;Hyphomonadaceae;Hyphomonas;9037,1795,0.9104502541280843,6.225886072622019,2.52223239245218e-4,8,0.6580424774184194,0.9789181571353012,Pearson's product-moment correlation,two.sided,0.008239292482010455
DOM,Bacteria;Proteobacteria;Alphaproteobacteria;Caulobacterales;Hyphomonadaceae;Litorimonas;uncultured marine bacterium;4616,1795,-0.3540818089544157,-1.0708715951920287,0.31546802180661787,8,-0.8043802126322539,0.35459837674931594,Pearson's product-moment correlation,two.sided,0.6003353318712559
DOM,Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;1036,1795,0.346577906715392,1.0450407322369872,0.32655033693378877,8,-0.36205380795551273,0.8013401210173646,Pearson's product-moment correlation,two.sided,0.6003353318712559
DOM,Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;1503,1795,0.7554326809519016,3.2609899578519577,0.01151023279737641,8,0.2399238094552797,0.9386155936945115,Pearson's product-moment correlation,two.sided,0.11443506810145242
DOM,Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;3349,1795,-0.28234319734129704,-0.8324569488977995,0.42929967313231865,8,-0.7743183758736888,0.4223677071857937,Pearson's product-moment correlation,two.sided,0.6186965877495181
DOM,Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;3835,1795,0.7704428681755573,3.418212669537468,0.009111954126257317,8,0.27347860136908553,0.9427496908431203,Pearson's product-moment correlation,two.sided,0.09329553030764956
DOM,Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;6355,1795,-0.34917673848702996,-1.0539605167160033,0.3226896475356412,8,-0.8023956637222558,0.3594819846818107,Pearson's product-moment correlation,two.sided,0.6003353318712559
DOM,Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;7937,1795,-0.2473332421710284,-0.7219961270055062,0.49085893336903375,8,-0.7587943799561806,0.45280767129249777,Pearson's product-moment correlation,two.sided,0.6456615353277274
DOM,Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;8702,1795,0.346577906715392,1.0450407322369872,0.32655033693378877,8,-0.36205380795551273,0.8013401210173646,Pearson's product-moment correlation,two.sided,0.6003353318712559
DOM,Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;8714,1795,0.7239974890208214,2.968637863919689,0.017908356146125154,8,0.17342794741128906,0.9297838229757215,Pearson's product-moment correlation,two.sided,0.14576964916430674
DOM,Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;8819,1795,-0.22787580517491038,-0.6619457650960661,0.5266098477420854,8,-0.7499078734475515,0.4690478920816441,Pearson's product-moment correlation,two.sided,0.6485715539516528
DOM,Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;9404,1795,-0.22787580517491035,-0.661945765096066,0.5266098477420854,8,-0.7499078734475515,0.4690478920816441,Pearson's product-moment correlation,two.sided,0.6485715539516528
DOM,Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Jannaschia;uncultured Thalassobacter sp.;6889,1795,-0.641735175925477,-2.366721751949599,0.045478538599214066,8,-0.9054937130137566,-0.020318723879699248,Pearson's product-moment correlation,two.sided,0.24570200600388334
DOM,Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Jannaschia;uncultured Thalassobacter sp.;8570,1795,-0.33152025396165524,-0.9938870794228049,0.34938471020254475,8,-0.7951680493161848,0.37674561756555686,Pearson's product-moment correlation,two.sided,0.6003353318712559
DOM,Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Loktanella;Thalassobium sp. R2A62;6007,1795,-0.4374992335111455,-1.3761219424738067,0.2060728488019345,8,-0.8366586778989273,0.26517147205758607,Pearson's product-moment correlation,two.sided,0.5261941182006062
DOM,Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Nereida;6637,1795,0.1465522919970904,0.4190368504168403,0.6862139348193865,8,-0.5321799426617231,0.710608489184236,Pearson's product-moment correlation,two.sided,0.7630640929465763
DOM,Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Pseudophaeobacter;2713,1795,0.8008536572720968,3.7824463616018282,0.005369370489626745,8,0.345382539083442,0.9509661755926638,Pearson's product-moment correlation,two.sided,0.06618360846205845
DOM,Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Sulfitobacter;4056,1795,-0.343432356917704,-1.0342810406755951,0.33125501144418634,8,-0.8000587237716098,0.3651523026695209,Pearson's product-moment correlation,two.sided,0.6003353318712559
