Taxonomy,term,comparison,estimate,conf.low,conf.high,adj.p.value
Bacteria;Bacteroidetes;Flavobacteria;Flavobacteriales;Flavobacteriaceae,Organism,galaxiae-delicatissima,-0.442049250743087,-0.5454713330935865,-0.33862716839258744,6.358834034247973e-5
Bacteria;Bacteroidetes;Flavobacteria;Flavobacteriales;Flavobacteriaceae,Organism,multiseries-delicatissima,-0.3111313465372734,-0.41455342888777297,-0.20770926418677388,3.782000194684221e-4
Bacteria;Bacteroidetes;Flavobacteria;Flavobacteriales;Flavobacteriaceae,Organism,subpacifica-delicatissima,-0.38804132317696205,-0.4914634055274616,-0.2846192408264625,1.2532540803855685e-4
Bacteria;Bacteroidetes;Flavobacteria;Flavobacteriales;Flavobacteriaceae,Organism,hasleana-galaxiae,0.49617913075877906,0.3927570484082795,0.5996012131092786,3.643241925266327e-5
Bacteria;Bacteroidetes;Flavobacteria;Flavobacteriales;Flavobacteriaceae,Organism,multiseries-galaxiae,0.1309179042058136,0.02749582185531403,0.23433998655631316,0.019685642658377023
Bacteria;Bacteroidetes;Flavobacteria;Flavobacteriales;Flavobacteriaceae,Organism,multiseries-hasleana,-0.3652612265529655,-0.46868330890346505,-0.26183914420246596,1.7095070170414228e-4
Bacteria;Bacteroidetes;Flavobacteria;Flavobacteriales;Flavobacteriaceae,Organism,subpacifica-hasleana,-0.4421712031926541,-0.5455932855431537,-0.3387491208421546,6.349843350872408e-5
Bacteria;Proteobacteria;Alphaproteobacteria;Caulobacterales;Hyphomonadaceae,Organism,galaxiae-delicatissima,-0.049834243941169615,-0.06168534950388083,-0.037983138378458396,6.916831993264427e-5
Bacteria;Proteobacteria;Alphaproteobacteria;Caulobacterales;Hyphomonadaceae,Organism,hasleana-delicatissima,-0.0498342439411696,-0.06168534950388082,-0.03798313837845838,6.916831993264427e-5
Bacteria;Proteobacteria;Alphaproteobacteria;Caulobacterales;Hyphomonadaceae,Organism,multiseries-delicatissima,-0.022766939273822534,-0.03461804483653375,-0.010915833711111317,0.0031494284738196043
Bacteria;Proteobacteria;Alphaproteobacteria;Caulobacterales;Hyphomonadaceae,Organism,subpacifica-delicatissima,-0.02263879652531628,-0.0344899020880275,-0.010787690962605062,0.0032321144739742014
Bacteria;Proteobacteria;Alphaproteobacteria;Caulobacterales;Hyphomonadaceae,Organism,multiseries-galaxiae,0.02706730466734708,0.015216199104635864,0.0389184102300583,0.0014082543652468305
